"ID"	,"REG_NO"	,"CORP_NAME"
"1544"	,"92320191MA1QQX0K8T"	,南京六合春生印刷厂
"1547"	,"913201118356563156"	,南京市浦口区林桥印刷厂
"1235"	,"913201111356593048"	,南京江浦电脑彩印厂
"1549"	,"913201118356609986"	,南京市浦口区新春电脑印刷厂
"1552"	,"91320111835705914R"	,江浦县装璜印刷厂
"1554"	,"91320111768196530K"	,南京西域彩色印刷厂
"1558"	,"913201110579969105"	,南京城东金琪印刷有限公司
"1559"	,"913201110802921531"	,南京团结彩色印务有限公司
"1295"	,"9132011572459967X0"	,南京高得彩色印刷有限公司
"1562"	,"913201131354725905"	,南京市栖霞区十月印刷厂
"1726"	,"320121000202205070050"	,南京大望印务有限公司
"1431"	,"320123600020979"	,南京市六合区金棠印刷厂
"1452"	,"320103000042309"	,南京江海印务有限公司
"1453"	,"913201047331455499"	,南京苏新印务有限公司
"1754"	,"913201157162229600"	,南京汇达印务有限责任公司
"1596"	,"91320113724572397X"	,南京联兴彩色印刷厂
"1599"	,"320113000050759"	,南京市栖霞区环湖印刷厂
"1604"	,"320113000055002"	,南京市栖霞区文教印刷厂
"1605"	,"91320111135364813E"	,南京市浦口区点将台印务有限公司
"1608"	,"92320115MA1PYJJU5A"	,南京江宁区锐意商务印刷中心
"1610"	,"92320115MA1QTAB67W"	,江宁区麒麟中银印刷厂
"1611"	,"92320115MA1NC8HT24"	,南京市江宁区成华印刷厂
"1615"	,"320123000050969"	,南京嘉迅印务有限公司
"1619"	,"9232011MA1QPWGX8D"	,六合灵岩山农印刷厂
"1624"	,"320123600022691"	,南京六合棠城印刷厂
"1626"	,"320106000014842"	,南京创佳印刷有限公司
"1627"	,"91320113756853767K"	,南京春笋印刷制品厂
"1628"	,"320113000013925"	,南京长江印刷三厂有限责任公司
"1572"	,"320106000011852"	,南京逸云印务有限责任公司
"1573"	,"320106000005286"	,南京鼓楼福利印刷厂
"1574"	,"320102600306999"	,南京市玄武区捷佳印刷厂
"1712"	,"320104000200806020031"	,南京市秦淮振教印刷厂
"1194"	,"9132011100001332Y"	,南京源兴包装有限公司
"1196"	,"320125000008726"	,南京市高淳区东坝纸箱包装有限公司
"1197"	,"9132011573056596X5"	,南京华光彩色印刷有限公司
"1683"	,"320103000028048"	,南京臣飞印务有限公司
"1203"	,"91320115135630851R"	,南京沪江复合材料股份有限公司
"1204"	,"9132011474539389XQ"	,南京大西洋彩印有限公司
"1217"	,"913201027453706045"	,南京朗时印务有限公司
"1209"	,"320100000000806"	,南京振华包装材料厂
"1143"	,"91320106733164563X"	,南京普胜印刷技术有限公司
"1716"	,"913201067482231596"	,南京华耀印务有限公司
"1722"	,"91320116721783527y"	,南京砺全印刷厂
"1212"	,"320121000061736"	,南京金鼎塑料材料有限公司
"1216"	,"91320104135129389P"	,南京万明印务有限公司
"1215"	,"91320104135053740P"	,南京航修印刷有限公司
"1346"	,"320104000012555"	,南京优点彩色印刷有限公司
"1124"	,"32000000077107"	,南京星光测绘科技有限公司
"1730"	,"913201157453792037"	,南京嘉佳印刷有限公司
"1731"	,"91320106000033708Y"	,南京鲁宁印刷有限公司
"1390"	,"320105000201604280073"	,南京科教印刷厂有限公司
"1226"	,"91320100721777928P"	,南京金梦都工贸实业有限责任公司
"1228"	,"91320116759473487P"	,南京苏祥印务有限公司
"1736"	,"913201157568657337"	,南京隆祥彩色印务有限公司
"1737"	,"91320102765250562H"	,南京博蓝印务有限公司
"1232"	,"320125000023942"	,南京三鑫包装有限公司
"1129"	,"320102000052870"	,南京前锦排版服务有限公司
"1738"	,"320123000053404"	,南京远华印刷有限公司
